date_open,date_close,asset,direction,entry,sl,exit,pnl_eur,pnl_points,exit_reason,strategie,conviction,lot_size
2026-05-05 09:08:37.943622,2024-10-01 07:17:00.000000,EURUSD,SELL,1.11395,1.11395,1.11395,0.0,0.0,SL_HIT,structure_trap,STANDARD,0.3
2026-05-05 09:08:38.195777,2024-10-01 09:18:00.000000,EURUSD,SELL,1.11357,1.11357,1.11357,0.0,0.0,SL_HIT,structure_trap,STANDARD,0.3
2026-05-05 09:08:38.937708,2024-10-01 10:27:00.000000,EURUSD,BUY,1.11401,1.11401,1.11401,0.0,0.0,SL_HIT,structure_trap,STANDARD,0.3
2026-05-05 09:08:39.130047,2024-10-01 12:06:00.000000,EURUSD,BUY,1.11414,1.1124786666666666,1.1124786666666666,-49.84,-16.61,SL_HIT,structure_trap,STANDARD,0.3
2026-05-05 09:08:43.767091,2024-10-02 07:30:00.000000,EURUSD,BUY,1.10676,1.10676,1.10676,0.0,0.0,SL_HIT,structure_trap,STANDARD,0.3
2026-05-05 09:08:44.622855,2024-10-02 09:22:00.000000,EURUSD,BUY,1.10716,1.10716,1.10716,0.0,0.0,SL_HIT,structure_trap,STANDARD,0.3
2026-05-05 09:08:44.902626,2024-10-02 10:55:00.000000,EURUSD,SELL,1.10611,1.10611,1.10611,0.0,0.0,SL_HIT,structure_trap,STANDARD,0.3
2026-05-05 09:08:49.932881,2024-10-03 10:19:00.000000,EURUSD,BUY,1.10418,1.1025518933333334,1.1025518933333334,-48.84,-16.28,SL_HIT,structure_trap,STANDARD,0.3
2026-05-05 09:08:52.031529,2024-10-03 11:00:00.000000,EURUSD,BUY,1.1026799999999999,1.1026799999999999,1.1026799999999999,0.0,0.0,SL_HIT,structure_trap,STANDARD,0.3
2026-05-05 09:08:56.698519,2024-10-04 04:10:00.000000,EURUSD,BUY,1.10329,1.10329,1.10329,0.0,0.0,SL_HIT,structure_trap,STANDARD,0.3
2026-05-05 09:08:56.921695,2024-10-04 04:53:00.000000,EURUSD,BUY,1.10344,1.10344,1.10344,0.0,0.0,SL_HIT,structure_trap,STANDARD,0.3
2026-05-05 09:08:57.096828,2026-05-05 09:08:57.205049,EURUSD,BUY,1.10375,1.1021544554666667,1.10349,-7.8,-2.6,BACKTEST_END,structure_trap,STANDARD,0.3
