date_open,date_close,asset,direction,entry,sl,exit,pnl_eur,pnl_points,exit_reason,strategie,conviction,lot_size
2024-10-01 06:42:00,2024-10-02 01:16:00.000000,EURUSD,SELL,1.11395,1.1068537142857144,1.1068537142857144,212.89,70.96,PULSE_TRACKER,structure_trap,STANDARD,0.3
2024-10-02 06:22:00,2024-10-03 00:25:00.000000,EURUSD,SELL,1.10665,1.1039297142857143,1.1039297142857143,81.61,27.2,PULSE_TRACKER,structure_trap,STANDARD,0.3
2024-10-03 05:18:00,2024-10-04 00:00:00.000000,EURUSD,BUY,1.10418,1.1025570668571427,1.1025570668571427,-48.69,-16.23,SL_HIT,structure_trap,STANDARD,0.3
2024-10-04 04:05:00,2024-10-05 00:00:00.000000,EURUSD,BUY,1.10329,1.1016181017142859,1.1016181017142859,-50.16,-16.72,SL_HIT,structure_trap,STANDARD,0.3
2024-10-07 03:22:00,2024-10-08 00:30:00.000000,EURUSD,BUY,1.09687,1.09687,1.09687,0.0,0.0,PULSE_TRACKER,structure_trap,STANDARD,0.3
2024-10-08 02:54:00,2024-10-09 00:00:00.000000,EURUSD,SELL,1.09737,1.09737,1.09716,6.3,2.1,ANTI_CHOP,structure_trap,STANDARD,0.3
2024-10-09 02:45:00,2024-10-10 00:00:00.000000,EURUSD,BUY,1.0977999999999999,1.0960082318666666,1.0960082318666666,-53.75,-17.92,SL_HIT,structure_trap,STANDARD,0.3
2024-10-10 02:37:00,2024-10-11 08:32:00.000000,EURUSD,BUY,1.09385,1.09385,1.09385,0.0,0.0,PULSE_TRACKER,structure_trap,STANDARD,0.3
2024-10-14 04:16:00,2024-10-15 00:00:00.000000,EURUSD,BUY,1.09243,1.0906698672293333,1.0906698672293333,-52.8,-17.6,SL_HIT,structure_trap,STANDARD,0.3
2024-10-15 02:18:00,2024-10-16 01:05:00.000000,EURUSD,SELL,1.09051,1.0887745714285715,1.0887745714285715,52.06,17.35,PULSE_TRACKER,structure_trap,STANDARD,0.3
2024-10-16 02:30:00,2024-10-17 01:38:00.000000,EURUSD,SELL,1.08917,1.0859062857142858,1.0859062857142858,97.91,32.64,PULSE_TRACKER,structure_trap,STANDARD,0.3
2024-10-18 02:38:00,2024-10-21 02:01:00.000000,EURUSD,BUY,1.08311,1.086219,1.086219,93.27,31.09,PULSE_TRACKER,structure_trap,STANDARD,0.3
2024-10-21 02:37:00,2024-10-22 00:00:00.000000,EURUSD,BUY,1.08644,1.0847975783248436,1.0847975783248436,-49.27,-16.42,SL_HIT,structure_trap,STANDARD,0.3
2024-10-22 03:03:00,2024-10-23 00:00:00.000000,EURUSD,BUY,1.08163,1.0799316163248436,1.0799316163248436,-50.95,-16.98,SL_HIT,structure_trap,STANDARD,0.3
2024-10-23 03:17:00,2024-10-24 00:10:00.000000,EURUSD,SELL,1.07967,1.0776522857142856,1.0776522857142856,60.53,20.18,PULSE_TRACKER,structure_trap,STANDARD,0.3
2024-10-24 05:30:00,2024-10-25 02:00:00.000000,EURUSD,BUY,1.07829,1.0827235714285715,1.0827235714285715,133.01,44.34,PULSE_TRACKER,structure_trap,STANDARD,0.3
2024-10-25 02:52:00,2024-10-28 01:41:00.000000,EURUSD,SELL,1.08271,1.0790808571428572,1.0790808571428572,108.87,36.29,PULSE_TRACKER,structure_trap,STANDARD,0.3
2024-10-28 02:18:00,2024-10-29 00:14:00.000000,EURUSD,BUY,1.07949,1.0816182857142858,1.0816182857142858,63.85,21.28,PULSE_TRACKER,structure_trap,STANDARD,0.3
2024-10-29 03:16:00,2024-10-30 01:00:00.000000,EURUSD,BUY,1.08123,1.0812317142857142,1.0812317142857142,0.05,0.02,PULSE_TRACKER,structure_trap,STANDARD,0.3
2024-10-30 02:30:00,2024-10-31 00:14:00.000000,EURUSD,BUY,1.08191,1.085996857142857,1.085996857142857,122.61,40.87,PULSE_TRACKER,structure_trap,STANDARD,0.3
2024-10-31 05:27:00,2024-11-01 00:00:00.000000,EURUSD,SELL,1.08531,1.0866725603883003,1.0866725603883003,-40.88,-13.63,SL_HIT,structure_trap,STANDARD,0.3
2024-11-01 03:01:00,2026-05-05 11:19:45.290318,EURUSD,BUY,1.08842,1.087003493097414,1.08842,0.0,0.0,BACKTEST_END,structure_trap,STANDARD,0.3
